ResTimeGQL,ResTimeREST
76,66
72,49
70,47
78,46
69,46
27,24
64,23
29,23
26,26
27,23
26,24
26,22
26,24
25,24
26,23
27,24
25,23
25,23
27,23
24,23
24,23
25,23
25,24
24,23
24,23
26,23
27,23
26,22
26,24
25,23
26,23
26,23
26,23
24,23
25,23
24,23
24,23
24,23
26,32
27,22
27,23
25,23
24,30
24,24
25,23
25,23
25,23
25,22
24,23
25,23
24,22
24,23
25,23
25,23
24,23
24,23
25,23
25,23
25,24
25,23
25,23
25,23
24,22
25,23
25,23
25,23
25,24
24,22
25,22
25,23
24,22
25,23
24,23
25,22
25,23
26,23
25,23
25,23
24,23
27,24
25,23
26,25
25,23
34,23
25,23
25,24
25,23
25,23
25,24
26,24
26,32
25,25
25,23
27,24
25,23
24,24
24,22
25,24
25,22
25,25
24,24
25,25
24,22
26,23
25,24
25,23
25,23
25,23
24,23
27,24
25,23
25,23
25,23
24,24
25,23
25,22
24,23
28,23
24,23
25,24
24,43
25,22
24,24
24,22
24,24
38,23
24,23
25,23
24,24
24,23
24,22
25,23
24,23
25,23
24,23
24,23
25,24
25,23
24,23
25,35
25,23
25,22
25,23
24,23
24,23
24,23
24,23
24,23
26,24
27,25
25,23
24,22
24,23
24,23
24,37
24,23
25,27
24,23
24,23
25,23
24,22
24,24
24,23
24,24
24,22
25,23
27,23
24,23
24,24
34,22
24,23
24,23
24,23
25,22
24,23
24,23
24,23
24,22
25,25
24,23
25,23
24,22
25,23
24,32
25,23
28,23
24,23
25,22
25,29
24,33
24,25
24,23
24,23
25,23
24,23
24,22
25,23
24,23
24,23
24,23
25,23
24,24
30,23
24,23
25,22
24,23
25,23
24,23
26,24
25,23
24,23
35,23
24,24
25,24
25,23
24,23
25,23
24,24
25,23
24,23
25,23
24,23
25,23
44,23
24,27
24,23
25,23
24,42
24,35
25,23
24,23
25,25
25,25
24,23
25,25
25,27
24,23
24,23
25,23
24,23
25,24
24,23
25,23
24,23
24,23
25,24
24,23
25,23
25,23
24,23
25,23
24,29
25,32
24,23
24,23
40,23
25,23
24,23
25,23
25,24
26,22
25,23
24,25
24,25
24,23
26,47
25,25
24,23
25,23
24,23
24,23
25,24
26,23
24,23
25,23
24,24
25,23
24,23
25,26
25,24
25,23
24,25
27,23
26,44
24,24
33,23
38,23
29,24
24,23
24,23
25,23
24,37
25,23
24,34
24,23
25,23
25,23
25,23
24,23
25,38
